split,access_model,adapter,protocol,n_tasks,action_accuracy,balanced_action_accuracy,accept_precision,accept_recall,reject_precision,reject_recall,abstain_precision,abstain_recall,molecule_acceptance_rate,task_inconsistent_accept_rate,false_abstain_rate,hard_violation_rate,schema_error_rate,invalid_action_rate,invalid_molecule_rate,invalid_tool_call_rate,pass_at_1,pass_at_3,mean_steps,mean_proposals,mean_verify_calls,p95_verify_calls,budget_exhaustion_rate
test,verifier/search wrapper,wrapper_no_verifier_calls,mixed,266,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6729323308270677,0.0,0.0,0.22510822510822512,0.0,0.0,0.0,0.0,1.0,1.0,1.3458646616541354,1.2142857142857142,0,0.0,0.19548872180451127
test,verifier/search wrapper,wrapper_verify_budget_1,mixed,266,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6729323308270677,0.0,0.0,0.22510822510822512,0.0,0.0,0.0,0.0,0.6871508379888268,1.0,1.556390977443609,1.1616541353383458,0.2631578947368421,1.0,0.19548872180451127
test,verifier/search wrapper,wrapper_verify_budget_3,mixed,266,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6729323308270677,0.0,0.0,0.22510822510822512,0.0,0.0,0.0,0.0,0.6871508379888268,1.0,1.556390977443609,1.1616541353383458,0.2631578947368421,1.0,0.19548872180451127
test,verifier/search wrapper,wrapper_verify_budget_10,mixed,266,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6729323308270677,0.0,0.0,0.22510822510822512,0.0,0.0,0.0,0.0,0.6871508379888268,1.0,1.556390977443609,1.1616541353383458,0.2631578947368421,1.0,0.19548872180451127
test,verifier/search wrapper,wrapper_no_contradiction_detector,mixed,266,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6729323308270677,0.0,0.0,0.22510822510822512,0.0,0.0,0.0,0.0,0.6871508379888268,1.0,1.556390977443609,1.1616541353383458,0.2631578947368421,1.0,0.19548872180451127
test,verifier/search wrapper,wrapper_no_repair_loop,mixed,266,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6729323308270677,0.0,0.0,0.22510822510822512,0.0,0.0,0.0,0.0,0.6871508379888268,1.0,1.556390977443609,1.1616541353383458,0.2631578947368421,1.0,0.19548872180451127
test,verifier/search wrapper,wrapper_no_boundary_special_case,mixed,266,0.9586466165413534,0.9294871794871795,0.9421052631578948,1.0,1.0,0.7884615384615384,1.0,1.0,0.7142857142857143,0.12643678160919541,0.0,0.1774891774891775,0.0,0.0,0.0,0.0,0.6871508379888268,1.0,1.4736842105263157,1.0789473684210527,0.2631578947368421,1.0,0.15413533834586465
test,verifier/search wrapper,wrapper_name_scrambled_public_view,mixed,266,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6729323308270677,0.0,0.0,0.22510822510822512,0.0,0.0,0.0,0.0,0.6871508379888268,1.0,1.556390977443609,1.1616541353383458,0.2631578947368421,1.0,0.19548872180451127
test,closed-book,heuristic_L1,L1,97,0.6185567010309279,0.6530612244897959,1.0,0.9591836734693877,0.26,1.0,,0.0,0.4845360824742268,0.0,0.0,0.5154639175257731,0.0,0.0,0.0,0.0,0.9591836734693877,0.9591836734693877,1,1,0,0.0,0.5154639175257731
test,closed-book,heuristic_L2,L2,85,0.7176470588235294,0.8,1.0,0.6,0.5102040816326531,1.0,,,0.4235294117647059,0.0,0.0,0.5764705882352941,0.0,0.0,0.0,0.0,0.6,0.6,2.152941176470588,2.152941176470588,0,0.0,0.5764705882352941
test,closed-book,heuristic_L3,L3,84,0.4642857142857143,0.6785714285714286,1.0,0.35714285714285715,0.2916666666666667,1.0,0.0,,0.2976190476190476,0.0,0.13095238095238096,0.6575342465753424,0.0,0.0,0.0,0.0,0.35714285714285715,0.35714285714285715,2.5595238095238093,2.2738095238095237,0,0.0,0.5714285714285714
test,closed-book,abstention_guard_L1,L1,97,0.6082474226804123,0.6462585034013606,1.0,0.9387755102040817,0.2549019607843137,1.0,,0.0,0.4742268041237113,0.0,0.0,0.5257731958762887,0.0,0.0,0.0,0.0,0.9387755102040817,0.9387755102040817,1,1,0,0.0,0.5257731958762887
test,closed-book,abstention_guard_L2,L2,85,0.7058823529411765,0.5349999999999999,0.7215189873417721,0.95,0.5,0.12,,,0.9294117647058824,0.88,0.0,0.07058823529411765,0.0,0.0,0.0,0.0,0.5833333333333334,0.95,1.6588235294117648,1.6588235294117648,0,0.0,0.07058823529411765
test,closed-book,abstention_guard_L3,L3,84,0.5238095238095238,0.34285714285714286,0.7678571428571429,0.6142857142857143,0.058823529411764705,0.07142857142857142,0.0,,0.6666666666666666,0.9285714285714286,0.13095238095238096,0.2328767123287671,0.0,0.0,0.0,0.0,0.32857142857142857,0.6142857142857143,1.9880952380952381,1.8452380952380953,0,0.0,0.20238095238095238
test,closed-book,local_mutation_L1,L1,97,0.5051546391752577,0.3333333333333333,0.7903225806451613,1.0,0.0,0.0,,0.0,0.6391752577319587,0.2708333333333333,0.0,0.36082474226804123,0.0,0.0,0.0,0.0,1.0,1.0,1,1,0,0.0,0.36082474226804123
test,closed-book,local_mutation_L2,L2,85,0.7058823529411765,0.5,0.7058823529411765,1.0,,0.0,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1,1,0,0.0,0.0
test,closed-book,local_mutation_L3,L3,84,0.7619047619047619,0.45714285714285713,0.8205128205128205,0.9142857142857143,0.0,0.0,,,0.9285714285714286,1.0,0.0,0.07142857142857142,0.0,0.0,0.0,0.0,0.9142857142857143,0.9142857142857143,1.2142857142857142,1.2142857142857142,0,0.0,0.07142857142857142
test,public-verifier,verify_first_L1,L1,97,0.5051546391752577,0.3333333333333333,0.7903225806451613,1.0,0.0,0.0,,0.0,0.6391752577319587,0.2708333333333333,0.0,0.36082474226804123,0.0,0.0,0.0,0.0,1.0,1.0,1,1,0,0.0,0.36082474226804123
test,public-verifier,verify_first_L2,L2,85,0.7058823529411765,0.5,0.7058823529411765,1.0,,0.0,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1,1,0,0.0,0.0
test,public-verifier,verify_first_L3,L3,84,0.7619047619047619,0.45714285714285713,0.8205128205128205,0.9142857142857143,0.0,0.0,,,0.9285714285714286,1.0,0.0,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.9142857142857143,2.142857142857143,1.1428571428571428,1,1.0,0.07142857142857142
test,public-verifier,verifier_guided_greedy_L1,L1,97,0.6185567010309279,0.6530612244897959,1.0,0.9591836734693877,0.26,1.0,,0.0,0.4845360824742268,0.0,0.0,0.5154639175257731,0.0,0.0,0.0,0.0,0.9591836734693877,0.9591836734693877,1,1,0,0.0,0.5154639175257731
test,public-verifier,verifier_guided_greedy_L2,L2,85,0.6705882352941176,0.51,0.7105263157894737,0.9,0.3333333333333333,0.12,,,0.8941176470588236,0.88,0.0,0.10588235294117647,0.0,0.0,0.0,0.0,0.6,0.9,1.6823529411764706,1.6823529411764706,0,0.0,0.10588235294117647
test,public-verifier,verifier_guided_greedy_L3,L3,84,0.6309523809523809,0.4357142857142857,0.8095238095238095,0.7285714285714285,0.09523809523809523,0.14285714285714285,,,0.75,0.8571428571428571,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.7285714285714285,2.4523809523809526,1.4523809523809523,1,1.0,0.25
test,verifier/search wrapper,well_engineered_wrapper_L1,L1,97,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5051546391752577,0.0,0.0,0.20967741935483872,0.0,0.0,0.0,0.0,1.0,1.0,1,0.6391752577319587,0,0.0,0.13402061855670103
test,verifier/search wrapper,well_engineered_wrapper_L2,L2,85,1.0,1.0,1.0,1.0,1.0,1.0,,,0.7058823529411765,0.0,0.0,0.29411764705882354,0.0,0.0,0.0,0.0,1.0,1.0,1.588235294117647,1.588235294117647,0,0.0,0.29411764705882354
test,verifier/search wrapper,well_engineered_wrapper_L3,L3,84,1.0,1.0,1.0,1.0,1.0,1.0,,,0.8333333333333334,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.2,1.0,2.1666666666666665,1.3333333333333333,0.8333333333333334,1.0,0.16666666666666666
